days_dormant,incoming_amount_thb,outflow_ratio_24h,dwell_time_mins,label,account_id
29,19603.99,0.424,1330.2,Normal,ACC004466
630,30845.09,0.54,1536.6,Legitimate_Awakening,ACC009254
11,4976.95,0.188,545.8,Normal,ACC003462
12,6969.52,0.352,164.4,Normal,ACC008775
22,6339.6,0.595,955.2,Normal,ACC003470
2,15202.26,0.502,143.8,Normal,ACC000626
16,962.47,0.14,671.7,Normal,ACC002626
20,16216.08,0.165,439.8,Normal,ACC003347
0,1440.76,0.286,480.4,Normal,ACC003933
21,10087.71,0.528,375.3,Normal,ACC006337
15,1641.97,0.171,1226.5,Normal,ACC003202
582,35884.05,0.532,2120.2,Legitimate_Awakening,ACC008910
13,7584.79,0.295,260.0,Normal,ACC001935
9,9429.42,0.164,691.2,Normal,ACC004225
28,13074.53,0.458,247.4,Normal,ACC005529
18,7340.07,0.252,1263.6,Normal,ACC006264
6,17007.03,0.559,453.0,Normal,ACC000525
15,13808.29,0.277,949.8,Normal,ACC004495
7,1878.03,0.441,1026.5,Normal,ACC004758
16,8273.37,0.27,695.9,Normal,ACC003749
27,17313.09,0.471,666.9,Normal,ACC002802
22,14681.23,0.275,242.6,Normal,ACC003764
23,3209.09,0.283,771.3,Normal,ACC005625
24,15735.78,0.389,314.0,Normal,ACC000777
681,44821.43,0.446,2142.2,Legitimate_Awakening,ACC009158
0,15229.11,0.551,1328.4,Normal,ACC003171
8,7853.12,0.143,739.9,Normal,ACC005875
5,2537.41,0.219,621.5,Normal,ACC002672
26,1445.98,0.448,1230.4,Normal,ACC006845
8,18959.75,0.24,507.2,Normal,ACC008577
20,7963.22,0.479,523.5,Normal,ACC001964
13,1704.98,0.378,346.1,Normal,ACC003643
21,17851.04,0.362,828.8,Normal,ACC004185
18,15051.96,0.188,205.2,Normal,ACC002375
6,8354.59,0.319,172.6,Normal,ACC008070
23,6047.69,0.329,984.8,Normal,ACC006671
21,9859.15,0.583,439.7,Normal,ACC004918
0,3633.64,0.337,1336.5,Normal,ACC006251
1,3871.76,0.42,1333.6,Normal,ACC006265
14,11014.39,0.355,330.3,Normal,ACC003721
557,34272.98,0.464,2744.5,Legitimate_Awakening,ACC009222
0,10117.62,0.494,773.3,Normal,ACC008282
8,7863.77,0.307,613.3,Normal,ACC005587
14,19187.03,0.547,692.8,Normal,ACC006663
19,11496.43,0.35,211.6,Normal,ACC001163
2,9945.63,0.447,849.6,Normal,ACC001131
9,6501.2,0.243,522.1,Normal,ACC005405
2,709.41,0.54,707.0,Normal,ACC005534
17,1377.37,0.14,987.3,Normal,ACC005089
8,9053.0,0.463,762.4,Normal,ACC000383
21,16338.86,0.256,974.6,Normal,ACC008400
23,19508.47,0.425,383.4,Normal,ACC000378
26,15903.99,0.132,376.2,Normal,ACC003495
14,3870.78,0.402,819.2,Normal,ACC005627
20,17083.82,0.512,1103.4,Normal,ACC004767
448,21058.24,0.597,1045.3,Legitimate_Awakening,ACC008960
19,8611.8,0.473,243.8,Normal,ACC002230
18,8871.13,0.189,1392.8,Normal,ACC007467
25,17705.78,0.514,980.7,Normal,ACC005690
397,29325.18,0.63,717.3,Legitimate_Awakening,ACC009375
635,183152.15,0.967,22.6,Dormant_Mule,ACC009905
7,2043.02,0.428,144.4,Normal,ACC003041
12,19472.88,0.576,130.1,Normal,ACC005392
24,14201.36,0.219,796.3,Normal,ACC000642
14,13041.35,0.409,1173.8,Normal,ACC006092
293,42879.54,0.598,1226.1,Legitimate_Awakening,ACC009015
460,58413.57,0.645,2403.7,Legitimate_Awakening,ACC008929
14,4316.12,0.482,151.0,Normal,ACC003630
12,17421.95,0.182,1349.7,Normal,ACC004977
9,785.03,0.412,274.3,Normal,ACC004902
29,5266.82,0.516,931.0,Normal,ACC003521
12,3941.84,0.146,441.3,Normal,ACC007875
277,36596.29,0.471,2263.4,Legitimate_Awakening,ACC009010
19,4699.51,0.246,348.0,Normal,ACC001957
27,12836.13,0.566,255.3,Normal,ACC000335
11,5330.58,0.506,530.8,Normal,ACC008725
7,15564.77,0.45,304.1,Normal,ACC007028
570,314344.79,0.981,14.5,Dormant_Mule,ACC009903
7,4541.82,0.415,410.0,Normal,ACC001000
199,58097.64,0.445,419.8,Legitimate_Awakening,ACC008906
5,508.0,0.398,1329.0,Normal,ACC002407
0,804.91,0.312,641.2,Normal,ACC000020
564,36468.63,0.691,1163.5,Legitimate_Awakening,ACC009127
12,6450.23,0.266,213.1,Normal,ACC006316
17,11800.98,0.258,1056.1,Normal,ACC006490
7,13646.11,0.285,371.4,Normal,ACC007289
6,4746.1,0.139,876.9,Normal,ACC001630
3,9669.58,0.485,258.9,Normal,ACC003138
5,17955.05,0.378,1355.4,Normal,ACC007287
10,18311.55,0.238,1177.1,Normal,ACC002727
28,12569.46,0.251,1396.0,Normal,ACC005893
6,12573.46,0.589,683.4,Normal,ACC005577
24,14837.4,0.499,475.6,Normal,ACC001817
7,7579.57,0.233,422.7,Normal,ACC007029
24,14034.29,0.484,1302.2,Normal,ACC003795
21,9601.2,0.138,339.2,Normal,ACC001203
1,19828.36,0.278,707.6,Normal,ACC008031
13,8258.74,0.503,901.5,Normal,ACC001162
20,16555.79,0.59,1085.9,Normal,ACC007633
22,18538.42,0.416,191.8,Normal,ACC000978
6,9521.15,0.534,1079.9,Normal,ACC000380
28,13414.14,0.301,1439.3,Normal,ACC008475
28,6185.97,0.233,1346.9,Normal,ACC002173
24,8959.52,0.437,677.0,Normal,ACC004232
6,3951.02,0.419,1158.8,Normal,ACC007537
20,5195.59,0.164,1118.6,Normal,ACC007002
621,42506.29,0.646,2413.3,Legitimate_Awakening,ACC009232
24,18967.2,0.584,361.6,Normal,ACC000576
28,16309.46,0.348,886.7,Normal,ACC008657
2,15488.63,0.457,1212.1,Normal,ACC008363
27,5096.41,0.312,495.4,Normal,ACC008837
28,18635.1,0.292,769.1,Normal,ACC001951
12,10830.49,0.433,582.6,Normal,ACC005032
5,12737.34,0.278,547.0,Normal,ACC002488
8,2031.11,0.391,964.8,Normal,ACC005129
21,12964.45,0.577,333.8,Normal,ACC006692
0,15588.88,0.298,1367.1,Normal,ACC008168
22,18401.2,0.556,1095.4,Normal,ACC002392
14,8629.69,0.28,361.7,Normal,ACC006291
2,11224.79,0.534,1127.5,Normal,ACC005652
3,9032.52,0.218,1419.2,Normal,ACC006387
19,15983.49,0.41,824.2,Normal,ACC000214
1,12763.22,0.421,786.5,Normal,ACC006017
20,11896.61,0.207,239.5,Normal,ACC006000
16,3360.66,0.52,313.0,Normal,ACC003979
29,941.46,0.114,556.3,Normal,ACC007082
14,7936.69,0.231,179.0,Normal,ACC003832
21,17395.8,0.36,1003.4,Normal,ACC001703
303,57971.44,0.64,1809.5,Legitimate_Awakening,ACC009066
408,212254.77,0.975,20.0,Dormant_Mule,ACC009945
13,4898.06,0.288,729.5,Normal,ACC000560
315,20007.24,0.41,2863.1,Legitimate_Awakening,ACC009840
29,13505.25,0.151,135.7,Normal,ACC001586
21,14791.83,0.11,642.4,Normal,ACC006770
14,3930.5,0.332,975.2,Normal,ACC008058
226,23275.93,0.508,836.1,Legitimate_Awakening,ACC009164
26,3627.8,0.267,435.1,Normal,ACC000326
29,16666.23,0.12,1434.1,Normal,ACC004013
4,5465.94,0.344,657.8,Normal,ACC001745
5,4466.84,0.243,1195.8,Normal,ACC006339
28,3139.95,0.287,1189.7,Normal,ACC005226
15,2266.47,0.277,128.2,Normal,ACC004843
621,50667.07,0.579,2586.0,Legitimate_Awakening,ACC008937
18,13740.08,0.306,1114.7,Normal,ACC000918
5,15815.71,0.329,169.6,Normal,ACC004058
6,4799.52,0.481,836.1,Normal,ACC000829
28,6039.76,0.56,683.8,Normal,ACC006242
29,15927.33,0.25,298.2,Normal,ACC006754
12,4840.24,0.298,1297.3,Normal,ACC000124
13,1666.09,0.549,825.3,Normal,ACC008257
23,8384.34,0.513,446.1,Normal,ACC007883
687,15502.18,0.57,2507.4,Legitimate_Awakening,ACC009061
4,5209.37,0.355,621.5,Normal,ACC002379
28,1801.94,0.297,1222.4,Normal,ACC007319
20,5181.38,0.172,272.7,Normal,ACC001077
23,4266.58,0.434,243.4,Normal,ACC002729
663,30705.33,0.459,920.5,Legitimate_Awakening,ACC009502
22,8495.42,0.113,1037.3,Normal,ACC008010
20,10977.68,0.381,1294.9,Normal,ACC007100
8,17409.47,0.437,182.0,Normal,ACC001965
21,14901.51,0.533,946.7,Normal,ACC002020
28,9502.35,0.202,517.9,Normal,ACC003708
28,15410.21,0.256,507.6,Normal,ACC008736
2,9368.73,0.248,1434.3,Normal,ACC008268
20,12696.12,0.12,354.2,Normal,ACC008220
1,5041.83,0.325,247.6,Normal,ACC004882
29,3264.6,0.237,908.1,Normal,ACC000449
24,16786.74,0.205,553.4,Normal,ACC004100
3,10491.66,0.274,614.8,Normal,ACC001340
465,85554.62,0.997,12.9,Dormant_Mule,ACC009999
519,59372.36,0.434,1825.1,Legitimate_Awakening,ACC009722
15,5389.27,0.436,1416.6,Normal,ACC005549
568,32973.4,0.417,735.3,Legitimate_Awakening,ACC009783
22,11336.22,0.342,1222.2,Normal,ACC004130
9,4393.18,0.589,1333.7,Normal,ACC008688
18,7924.99,0.3,782.4,Normal,ACC008730
10,12426.55,0.166,454.0,Normal,ACC005962
1,3905.68,0.524,513.6,Normal,ACC002516
221,27945.04,0.352,1565.6,Legitimate_Awakening,ACC009404
5,17947.58,0.234,662.0,Normal,ACC001881
6,7015.79,0.509,170.6,Normal,ACC002114
367,23192.43,0.451,2412.1,Legitimate_Awakening,ACC009522
1,19171.07,0.329,395.0,Normal,ACC005039
20,12722.65,0.279,1434.3,Normal,ACC001665
17,15193.33,0.363,606.6,Normal,ACC003076
27,17914.08,0.578,798.9,Normal,ACC003331
22,10243.51,0.253,821.9,Normal,ACC006347
21,2315.37,0.253,731.6,Normal,ACC005347
18,17893.41,0.284,1076.2,Normal,ACC005538
25,6530.73,0.158,1421.3,Normal,ACC002384
9,1859.24,0.212,700.7,Normal,ACC007165
11,10097.78,0.564,223.8,Normal,ACC008614
19,19460.64,0.404,809.3,Normal,ACC006840
698,53885.57,0.546,904.1,Legitimate_Awakening,ACC009652
478,21670.46,0.58,1047.5,Legitimate_Awakening,ACC009209
4,8035.1,0.303,340.2,Normal,ACC003127
23,6067.41,0.599,482.0,Normal,ACC008321
20,14009.62,0.535,571.9,Normal,ACC002170
13,12224.38,0.515,912.0,Normal,ACC005578
22,14402.72,0.106,659.6,Normal,ACC000897
361,29516.8,0.685,1484.2,Legitimate_Awakening,ACC009368
20,647.05,0.248,491.3,Normal,ACC004808
7,18730.48,0.595,692.1,Normal,ACC005318
23,12666.94,0.33,172.1,Normal,ACC002868
25,12933.45,0.59,1114.5,Normal,ACC008681
25,2228.34,0.561,753.9,Normal,ACC002908
25,10479.24,0.127,877.6,Normal,ACC006605
18,19609.73,0.541,878.8,Normal,ACC002781
12,14591.11,0.399,968.8,Normal,ACC007473
22,4362.9,0.383,732.4,Normal,ACC000575
8,17044.29,0.311,519.9,Normal,ACC000826
12,3330.22,0.373,201.6,Normal,ACC006527
17,12421.06,0.468,559.8,Normal,ACC006377
25,8428.52,0.172,1063.4,Normal,ACC001165
21,12882.3,0.391,1156.3,Normal,ACC003554
0,19293.69,0.583,618.7,Normal,ACC005142
19,2749.57,0.535,743.3,Normal,ACC001509
10,1914.19,0.452,651.3,Normal,ACC001755
22,5555.58,0.521,1378.1,Normal,ACC007943
5,18191.19,0.537,725.1,Normal,ACC004493
465,58204.6,0.579,2372.6,Legitimate_Awakening,ACC008880
200,16639.2,0.323,592.4,Legitimate_Awakening,ACC009056
24,13009.01,0.236,1169.2,Normal,ACC004978
5,11357.96,0.573,667.8,Normal,ACC002124
20,5641.83,0.233,1086.5,Normal,ACC000268
947,472663.76,0.964,30.9,Dormant_Mule,ACC009960
27,14207.83,0.191,925.0,Normal,ACC003248
1,5328.54,0.236,1411.3,Normal,ACC005101
27,14899.29,0.574,138.1,Normal,ACC005979
19,17755.45,0.395,437.7,Normal,ACC005566
3,18317.48,0.495,603.9,Normal,ACC008659
19,14489.97,0.481,385.9,Normal,ACC002886
459,44134.03,0.41,1018.8,Legitimate_Awakening,ACC009818
19,4995.74,0.335,860.5,Normal,ACC003243
21,3768.57,0.118,1092.1,Normal,ACC000397
6,9039.05,0.522,466.4,Normal,ACC001442
220,37694.17,0.61,2233.1,Legitimate_Awakening,ACC009288
16,12421.06,0.529,1008.7,Normal,ACC000924
12,14200.53,0.187,748.4,Normal,ACC007263
27,7927.36,0.348,130.3,Normal,ACC001537
0,7887.53,0.547,133.0,Normal,ACC002995
22,11060.7,0.231,334.3,Normal,ACC008133
9,13599.57,0.246,766.4,Normal,ACC004926
26,8487.76,0.256,1013.8,Normal,ACC000680
14,10856.63,0.304,481.5,Normal,ACC003135
689,16075.63,0.607,1152.2,Legitimate_Awakening,ACC009132
498,42488.43,0.575,2113.6,Legitimate_Awakening,ACC009683
17,15603.73,0.205,718.2,Normal,ACC003437
22,19421.62,0.421,324.1,Normal,ACC006608
12,13930.97,0.435,331.5,Normal,ACC002683
4,19833.77,0.131,1285.4,Normal,ACC000322
13,18746.65,0.431,1157.9,Normal,ACC007677
24,5651.68,0.251,853.5,Normal,ACC005840
477,26946.68,0.582,652.4,Legitimate_Awakening,ACC009418
1,5211.94,0.395,1025.1,Normal,ACC005597
24,18564.08,0.127,379.9,Normal,ACC006287
26,12814.23,0.293,592.0,Normal,ACC005520
2,12937.53,0.105,163.5,Normal,ACC002757
15,890.9,0.391,1042.5,Normal,ACC002115
14,7561.19,0.532,540.2,Normal,ACC007770
8,2627.64,0.425,1130.1,Normal,ACC000417
301,36863.24,0.483,1199.2,Legitimate_Awakening,ACC009060
27,6092.91,0.247,647.5,Normal,ACC002203
27,16497.36,0.257,1174.1,Normal,ACC000599
18,9083.88,0.174,553.2,Normal,ACC000551
13,4354.58,0.374,273.2,Normal,ACC003199
27,4427.75,0.234,215.8,Normal,ACC003960
25,11343.44,0.416,1425.9,Normal,ACC007106
18,5265.13,0.47,1374.8,Normal,ACC005173
28,16808.69,0.536,185.0,Normal,ACC006973
14,3499.62,0.221,1403.8,Normal,ACC004743
10,4965.53,0.201,1317.6,Normal,ACC003927
12,16811.72,0.125,733.3,Normal,ACC001099
606,48845.89,0.589,1052.3,Legitimate_Awakening,ACC009357
10,1493.99,0.34,1074.4,Normal,ACC004452
22,18913.19,0.11,1394.3,Normal,ACC003967
3,2209.03,0.316,543.5,Normal,ACC005633
9,18432.62,0.451,1134.5,Normal,ACC004376
13,958.88,0.315,488.2,Normal,ACC001146
21,15123.39,0.329,335.8,Normal,ACC006870
5,18360.59,0.579,133.9,Normal,ACC002864
27,11157.19,0.353,413.5,Normal,ACC003114
1,12582.51,0.4,788.4,Normal,ACC001048
0,1846.08,0.103,1357.0,Normal,ACC000718
12,19412.64,0.122,1296.3,Normal,ACC000134
15,5969.84,0.307,1062.5,Normal,ACC007008
27,10524.69,0.54,589.0,Normal,ACC003256
6,16787.84,0.345,863.0,Normal,ACC008003
2,6838.23,0.386,1130.1,Normal,ACC007422
10,14176.29,0.395,490.6,Normal,ACC008252
459,37069.9,0.513,2317.7,Legitimate_Awakening,ACC009320
16,1206.97,0.592,720.5,Normal,ACC003619
1,17167.04,0.203,1141.7,Normal,ACC006513
690,44542.98,0.346,1528.1,Legitimate_Awakening,ACC009793
6,10857.5,0.465,244.5,Normal,ACC006056
14,18798.92,0.594,1127.4,Normal,ACC004778
467,34048.77,0.307,2153.4,Legitimate_Awakening,ACC008989
12,14912.28,0.443,1195.9,Normal,ACC001344
2,14725.44,0.204,617.7,Normal,ACC003805
14,8328.35,0.272,792.0,Normal,ACC005019
4,16305.07,0.588,971.0,Normal,ACC002625
11,13198.98,0.579,563.9,Normal,ACC004811
1,19636.98,0.415,669.3,Normal,ACC001644
21,17784.42,0.124,1389.1,Normal,ACC001323
9,2631.11,0.228,1225.7,Normal,ACC008142
17,19974.62,0.136,177.5,Normal,ACC003511
27,11066.49,0.404,998.8,Normal,ACC006987
8,549.79,0.356,375.0,Normal,ACC004687
13,16849.97,0.197,822.4,Normal,ACC008184
2,6296.54,0.425,300.5,Normal,ACC007762
17,1860.82,0.228,379.8,Normal,ACC003314
27,17587.97,0.236,571.5,Normal,ACC005096
1,10564.43,0.266,485.2,Normal,ACC004139
10,11023.12,0.144,1095.2,Normal,ACC004326
610,136454.41,0.977,1.3,Dormant_Mule,ACC009885
7,13238.53,0.257,373.6,Normal,ACC004140
10,5788.74,0.336,973.5,Normal,ACC006917
17,15697.62,0.361,966.2,Normal,ACC001535
365,28330.65,0.42,2212.3,Legitimate_Awakening,ACC008870
28,844.99,0.136,326.1,Normal,ACC007087
23,8560.8,0.528,1135.9,Normal,ACC005715
20,6027.19,0.149,752.4,Normal,ACC007111
27,3034.12,0.165,1019.2,Normal,ACC005236
7,8411.36,0.143,124.7,Normal,ACC008054
4,9208.69,0.238,257.7,Normal,ACC003444
23,18617.79,0.457,1430.7,Normal,ACC007204
10,15314.38,0.481,1161.4,Normal,ACC004440
13,2081.25,0.484,306.5,Normal,ACC004768
24,3511.0,0.128,756.7,Normal,ACC006969
27,12535.77,0.178,751.6,Normal,ACC001005
15,18629.1,0.47,495.7,Normal,ACC006138
5,17063.73,0.408,505.9,Normal,ACC003666
1,6119.6,0.103,775.0,Normal,ACC001274
445,298445.38,0.972,23.8,Dormant_Mule,ACC009986
4,5006.75,0.583,941.5,Normal,ACC006314
9,14068.66,0.577,1391.2,Normal,ACC005694
26,19474.38,0.59,474.1,Normal,ACC002275
2,13455.06,0.214,303.3,Normal,ACC007040
29,1963.72,0.526,489.8,Normal,ACC007425
4,780.22,0.11,927.8,Normal,ACC006613
7,16125.59,0.493,372.2,Normal,ACC005475
24,13835.47,0.113,1030.9,Normal,ACC001383
10,10627.87,0.596,628.5,Normal,ACC008756
9,18879.36,0.473,1071.1,Normal,ACC000899
567,45334.86,0.415,1711.2,Legitimate_Awakening,ACC009429
239,30052.9,0.416,676.6,Legitimate_Awakening,ACC009673
5,15424.45,0.151,561.4,Normal,ACC000245
13,4145.16,0.323,764.3,Normal,ACC001467
17,15615.09,0.57,1301.2,Normal,ACC000015
24,6744.49,0.317,343.4,Normal,ACC006487
27,11206.53,0.224,808.4,Normal,ACC007371
11,1857.91,0.376,880.0,Normal,ACC004673
12,7186.6,0.135,557.9,Normal,ACC005242
24,1424.6,0.501,917.8,Normal,ACC002293
10,6959.4,0.377,460.0,Normal,ACC007282
29,17023.33,0.251,610.8,Normal,ACC006665
20,18474.89,0.287,1310.8,Normal,ACC002733
29,17347.16,0.261,1426.2,Normal,ACC003541
25,12555.25,0.151,231.0,Normal,ACC000123
25,4058.08,0.111,314.1,Normal,ACC008327
17,5172.1,0.411,355.6,Normal,ACC003157
27,12346.91,0.131,651.1,Normal,ACC006872
16,6048.94,0.388,282.7,Normal,ACC004206
27,2772.22,0.488,1117.5,Normal,ACC005969
2,5247.35,0.126,1359.8,Normal,ACC003849
8,7854.9,0.133,249.9,Normal,ACC008036
16,9913.2,0.266,1097.2,Normal,ACC002296
29,9211.17,0.162,391.9,Normal,ACC001408
22,15298.96,0.51,1338.3,Normal,ACC006648
13,16316.57,0.539,214.3,Normal,ACC003027
2,5005.96,0.436,146.0,Normal,ACC000249
343,15006.56,0.542,325.3,Legitimate_Awakening,ACC009078
13,1444.25,0.264,1079.6,Normal,ACC007073
28,9249.53,0.219,612.7,Normal,ACC000422
23,11874.49,0.542,320.3,Normal,ACC001479
25,615.86,0.124,314.8,Normal,ACC004309
17,13557.15,0.21,905.8,Normal,ACC005344
3,6066.54,0.204,887.1,Normal,ACC008634
23,19808.74,0.145,1000.8,Normal,ACC003166
426,37201.08,0.625,657.2,Legitimate_Awakening,ACC009643
1,17723.73,0.146,836.6,Normal,ACC005319
295,23919.19,0.417,1576.5,Legitimate_Awakening,ACC009668
22,19758.0,0.39,763.3,Normal,ACC008034
25,5018.16,0.371,410.1,Normal,ACC003738
22,19523.74,0.463,1327.9,Normal,ACC005273
14,19781.67,0.197,1134.6,Normal,ACC005779
15,13004.68,0.307,506.5,Normal,ACC001969
22,2138.03,0.441,1017.7,Normal,ACC002904
1,19162.6,0.222,1314.7,Normal,ACC005253
21,3407.37,0.579,653.7,Normal,ACC003417
25,10931.85,0.119,1186.6,Normal,ACC001346
16,16328.42,0.479,470.9,Normal,ACC003282
11,4209.68,0.329,929.9,Normal,ACC005704
4,13882.87,0.344,1164.1,Normal,ACC007265
27,8607.21,0.325,1301.6,Normal,ACC005488
29,4718.24,0.353,1395.1,Normal,ACC005286
27,14891.82,0.264,1211.9,Normal,ACC005725
0,1504.55,0.575,1047.6,Normal,ACC005487
3,3413.0,0.335,1217.1,Normal,ACC003121
29,12156.13,0.565,1339.7,Normal,ACC007646
5,5562.47,0.391,438.1,Normal,ACC004675
471,24554.47,0.577,2430.7,Legitimate_Awakening,ACC008876
8,19870.07,0.476,239.4,Normal,ACC000416
13,17768.9,0.361,299.1,Normal,ACC004945
5,8316.6,0.331,1370.4,Normal,ACC000223
14,16239.69,0.38,1355.8,Normal,ACC004776
9,5864.99,0.354,1157.9,Normal,ACC002705
2,13008.22,0.193,519.6,Normal,ACC003993
18,12535.88,0.352,1245.9,Normal,ACC005509
2,6835.99,0.444,1389.3,Normal,ACC001256
22,6081.35,0.547,359.3,Normal,ACC006693
17,4330.61,0.407,235.8,Normal,ACC002196
27,18552.16,0.423,667.5,Normal,ACC002773
4,19140.42,0.257,1292.7,Normal,ACC000687
11,6403.13,0.516,1155.7,Normal,ACC004821
3,14296.97,0.168,1198.5,Normal,ACC004611
383,45990.8,0.401,2645.3,Legitimate_Awakening,ACC009133
5,13470.35,0.179,276.9,Normal,ACC000839
14,6879.98,0.27,1302.1,Normal,ACC005655
464,38584.88,0.329,1569.4,Legitimate_Awakening,ACC009609
7,10767.23,0.225,270.9,Normal,ACC004209
29,10015.11,0.158,760.7,Normal,ACC006476
597,46411.11,0.306,897.6,Legitimate_Awakening,ACC009085
3,5735.91,0.196,790.9,Normal,ACC005952
22,6860.32,0.334,315.3,Normal,ACC001461
673,18901.86,0.639,2645.1,Legitimate_Awakening,ACC008893
23,18240.0,0.526,189.4,Normal,ACC001552
24,16966.25,0.416,223.9,Normal,ACC003740
14,12218.67,0.117,776.8,Normal,ACC002000
13,8560.18,0.373,695.6,Normal,ACC001974
2,15031.76,0.11,951.9,Normal,ACC006383
10,17355.86,0.255,1036.3,Normal,ACC001892
6,6726.68,0.265,783.3,Normal,ACC007234
16,13073.48,0.305,813.9,Normal,ACC003057
0,9178.98,0.232,1299.8,Normal,ACC007786
23,6047.98,0.124,1002.5,Normal,ACC002051
16,2825.38,0.562,222.5,Normal,ACC003473
411,59209.04,0.304,432.1,Legitimate_Awakening,ACC008993
20,15579.52,0.385,242.0,Normal,ACC003345
26,3171.0,0.381,194.1,Normal,ACC005821
21,11846.37,0.128,310.8,Normal,ACC002183
12,16661.76,0.551,1208.7,Normal,ACC007840
7,5157.7,0.335,714.6,Normal,ACC000647
2,8501.15,0.138,1110.0,Normal,ACC006518
9,3812.79,0.292,1270.5,Normal,ACC003210
20,6699.14,0.104,624.4,Normal,ACC001464
227,34739.71,0.394,2154.9,Legitimate_Awakening,ACC009461
14,8628.39,0.519,942.5,Normal,ACC005772
382,18900.45,0.621,2651.4,Legitimate_Awakening,ACC008921
0,16396.52,0.142,942.3,Normal,ACC002787
28,1514.74,0.22,1023.0,Normal,ACC003579
25,13246.3,0.578,124.0,Normal,ACC002399
24,19349.75,0.524,1281.5,Normal,ACC005848
17,1311.99,0.35,1298.1,Normal,ACC008638
301,29766.68,0.345,1184.9,Legitimate_Awakening,ACC009086
16,14180.52,0.105,660.1,Normal,ACC001549
10,5993.75,0.49,623.0,Normal,ACC007893
689,28830.5,0.589,2223.5,Legitimate_Awakening,ACC009102
26,12183.92,0.148,625.4,Normal,ACC003481
15,18015.65,0.334,637.6,Normal,ACC005035
28,12721.26,0.506,1422.4,Normal,ACC008382
18,11788.29,0.319,832.4,Normal,ACC008622
28,3059.28,0.116,1335.5,Normal,ACC000353
0,1717.59,0.287,1248.7,Normal,ACC008063
28,14118.69,0.308,1065.6,Normal,ACC005115
17,14594.3,0.216,1051.3,Normal,ACC001339
22,17631.35,0.251,978.4,Normal,ACC002497
15,17834.97,0.476,486.4,Normal,ACC005749
10,14995.54,0.543,979.1,Normal,ACC005317
17,8443.95,0.189,264.7,Normal,ACC002185
20,676.73,0.496,496.3,Normal,ACC006451
542,55209.98,0.482,413.2,Legitimate_Awakening,ACC008856
8,1804.9,0.256,982.9,Normal,ACC008800
29,16240.01,0.429,374.4,Normal,ACC004158
17,8935.2,0.58,161.9,Normal,ACC008649
28,10873.89,0.584,1174.7,Normal,ACC007313
15,6216.74,0.495,1288.7,Normal,ACC005915
22,12244.48,0.293,1361.0,Normal,ACC007635
20,1674.99,0.547,436.4,Normal,ACC008165
1,10510.68,0.595,425.6,Normal,ACC000934
11,4249.03,0.255,1406.9,Normal,ACC001534
9,7459.55,0.45,921.8,Normal,ACC007046
643,426837.92,0.975,5.7,Dormant_Mule,ACC009880
9,7216.55,0.493,567.4,Normal,ACC003054
9,9390.53,0.507,622.5,Normal,ACC003300
8,15540.62,0.306,362.7,Normal,ACC004123
26,6712.79,0.547,775.7,Normal,ACC003015
10,6461.6,0.283,643.9,Normal,ACC003734
10,15495.95,0.434,1248.3,Normal,ACC004242
346,36121.22,0.385,2649.6,Legitimate_Awakening,ACC009115
22,14890.04,0.28,1006.1,Normal,ACC001140
21,9655.61,0.311,1434.2,Normal,ACC001222
14,4655.16,0.57,128.8,Normal,ACC000872
25,7140.62,0.502,189.2,Normal,ACC001116
27,5623.06,0.336,548.1,Normal,ACC001505
8,3284.32,0.295,1376.2,Normal,ACC001781
25,11594.92,0.547,960.2,Normal,ACC004042
6,2064.46,0.281,360.3,Normal,ACC004889
29,12837.35,0.11,278.1,Normal,ACC008506
308,48472.9,0.667,2230.6,Legitimate_Awakening,ACC009349
14,3991.15,0.465,1286.4,Normal,ACC007960
11,9686.12,0.299,529.4,Normal,ACC002906
0,6016.28,0.355,794.3,Normal,ACC003922
19,5650.15,0.144,747.8,Normal,ACC005174
21,2621.52,0.401,1177.2,Normal,ACC004819
4,11939.6,0.412,982.3,Normal,ACC002212
2,14599.21,0.38,1180.7,Normal,ACC007660
9,10958.43,0.595,1045.8,Normal,ACC005895
391,29347.57,0.566,501.7,Legitimate_Awakening,ACC009140
1,19560.59,0.2,1035.0,Normal,ACC000366
15,12945.89,0.543,678.7,Normal,ACC003844
1,2211.24,0.178,1134.9,Normal,ACC004298
13,1415.84,0.183,1094.2,Normal,ACC000271
14,15267.02,0.549,231.0,Normal,ACC001115
4,16701.29,0.567,1273.3,Normal,ACC007109
12,11653.92,0.503,1123.4,Normal,ACC001132
15,17347.4,0.385,1264.4,Normal,ACC008235
6,8563.03,0.384,837.3,Normal,ACC004900
26,9380.2,0.359,129.9,Normal,ACC001659
27,17601.28,0.204,774.8,Normal,ACC004110
599,51816.31,0.454,964.5,Legitimate_Awakening,ACC009299
22,16211.24,0.154,1422.4,Normal,ACC002311
25,656.62,0.346,821.4,Normal,ACC002929
15,15778.25,0.45,934.4,Normal,ACC001073
28,7364.32,0.305,144.3,Normal,ACC002257
24,14438.42,0.24,546.7,Normal,ACC006027
9,15288.57,0.401,1418.4,Normal,ACC007765
14,1900.38,0.474,190.0,Normal,ACC002388
23,5781.23,0.319,223.6,Normal,ACC000088
472,56006.06,0.604,576.7,Legitimate_Awakening,ACC008999
3,5769.47,0.432,276.2,Normal,ACC007445
21,2676.9,0.158,1178.0,Normal,ACC001952
11,19641.41,0.516,1323.5,Normal,ACC003965
