tx_id,account_id,incoming_amount,outflow_ratio_24h,dwell_time_mins
TX09224,ACC_N0206,6339.6,0.22,362.7
TX00479,ACC_A0340,38744.15,0.322,880.2
TX09637,ACC_N0811,11392.18,0.174,839.0
TX08252,ACC_N1583,12494.97,0.589,586.0
TX06787,ACC_N1252,17325.82,0.252,504.2
TX08141,ACC_N1530,7760.14,0.35,1118.1
TX07034,ACC_N2244,18047.22,0.143,579.9
TX08118,ACC_N0159,8954.13,0.206,931.8
TX04058,ACC_N1619,9320.12,0.156,717.9
TX05319,ACC_N0172,15370.14,0.415,1181.4
TX02153,ACC_N2332,2434.98,0.18,760.7
TX07481,ACC_N1108,6784.8,0.236,378.3
TX00236,ACC_A0397,18803.27,0.698,2535.7
TX00961,ACC_A0260,33715.83,0.6,1091.8
TX01750,ACC_N2475,7583.82,0.372,1430.6
TX05224,ACC_N1926,6889.27,0.145,442.1
TX05254,ACC_N0670,18001.81,0.125,926.1
TX08968,ACC_N0918,14539.79,0.442,801.0
TX03526,ACC_N0475,12076.15,0.162,164.2
TX00867,ACC_A0319,23345.65,0.595,357.1
TX07049,ACC_N0819,15455.11,0.248,694.0
TX04943,ACC_N0186,858.25,0.487,1245.3
TX09265,ACC_N0479,4511.63,0.266,1366.0
TX08052,ACC_N3304,15504.01,0.442,
TX05326,ACC_N3336,16944.41,0.289,177.8
TX04515,ACC_N3178,2552.67,0.293,596.6
TX08704,ACC_N3318,18618.16,0.342,133.0
TX07126,ACC_N0323,16304.16,0.187,385.7
TX03760,ACC_N2889,5565.99,0.37,220.6
TX01558,ACC_N3411,7655.75,0.289,1327.7
TX00246,ACC_A0310,21648.26,0.469,1756.7
TX02956,ACC_N2633,19089.67,0.433,777.2
TX01431,ACC_N0011,19884.59,0.317,488.6
TX05460,ACC_N3033,6107.23,0.398,508.2
TX00732,ACC_A0214,55271.46,0.628,2411.4
TX06336,ACC_N2660,12837.57,0.39,146.3
TX06769,ACC_N1270,6454.39,0.189,914.1
TX09285,ACC_N1754,17932.76,0.488,193.9
TX04387,ACC_N2516,4166.31,0.383,868.8
TX07781,ACC_N1161,12891.42,0.395,554.2
TX08782,ACC_N0762,7185.94,0.395,706.1
TX08654,ACC_N3373,9214.86,0.454,1439.8
TX06112,ACC_N2314,10409.19,0.219,275.3
TX05987,ACC_N3234,2700.73,0.338,945.9
TX06120,ACC_N0140,6552.76,0.267,1202.8
TX02077,ACC_N2070,10574.24,0.492,367.9
TX00598,ACC_A0262,43049.96,0.492,551.6
TX00385,ACC_A0056,48958.59,0.624,1214.0
TX07669,ACC_N2071,1767.61,0.426,1343.7
TX07501,ACC_N0542,7047.84,0.575,735.3
TX01054,ACC_A0206,21459.41,0.688,1769.3
TX08830,ACC_N1739,19779.17,0.256,794.9
TX07100,ACC_N1019,9985.71,0.305,374.8
TX02668,ACC_N1780,16744.17,0.428,751.3
TX05213,ACC_N2166,1291.62,0.35,735.1
TX04766,ACC_N2111,16112.95,0.571,335.9
TX00907,ACC_A0290,31101.06,0.488,836.5
TX02924,ACC_N1671,3113.49,0.272,1005.2
TX06202,ACC_N3025,12690.35,0.275,1114.1
TX01338,ACC_N0459,8009.5,0.535,1361.1
TX09215,ACC_N1558,15632.43,0.304,994.2
TX07683,ACC_N0029,11780.41,0.461,812.9
TX09493,ACC_N2534,6823.02,0.232,837.4
TX03807,ACC_N0607,14524.39,0.235,943.2
TX06347,ACC_N0536,19735.73,0.592,540.7
TX05985,ACC_N0737,13835.92,0.437,
TX02619,ACC_N3258,6034.06,0.241,205.2
TX01335,ACC_N1366,14974.72,0.448,1336.4
TX07925,ACC_N2618,13389.51,0.593,825.0
TX06264,ACC_N0708,2225.49,0.169,818.4
TX00846,ACC_A0270,29037.84,0.391,1801.9
TX01673,ACC_N3451,17953.6,0.41,1014.2
TX00891,ACC_A0239,47592.84,0.405,2241.8
TX03015,ACC_N1407,9753.61,0.297,1358.4
TX02049,ACC_N2898,2727.62,0.255,586.4
TX00147,ACC_M005,324303.95,0.988,44.4
TX00499,ACC_A0253,37747.85,0.531,384.6
TX03805,ACC_N0121,11919.28,0.375,745.0
TX08300,ACC_N2867,10306.43,0.53,612.4
TX00493,ACC_A0149,52790.5,0.603,2593.3
TX06627,ACC_N0442,17472.72,0.5,1274.7
TX09242,ACC_N2676,16403.27,0.299,524.7
TX06450,ACC_N3175,2574.18,0.6,1147.3
TX09163,ACC_N3372,9850.85,0.535,221.4
TX01296,ACC_N3306,11554.41,0.276,748.1
TX04206,ACC_N3055,15701.28,0.509,976.1
TX08522,ACC_N2400,7084.3,0.157,974.2
TX09993,ACC_N2166,17746.15,0.312,1117.9
TX03021,ACC_N1312,7148.85,0.246,784.6
TX03931,ACC_N2075,13980.38,0.456,1045.6
TX05410,ACC_N1023,11959.96,0.379,1355.8
TX04526,ACC_N1290,1057.13,0.223,
TX07646,ACC_N3099,789.94,0.129,1365.0
TX05002,ACC_N2967,5746.52,0.427,130.9
TX06550,ACC_N0990,8712.15,0.15,126.3
TX02211,ACC_N2359,10955.03,0.363,418.5
TX07505,ACC_N0356,16480.6,0.531,608.6
TX07399,ACC_N0647,19804.62,0.386,1156.2
TX02147,ACC_N3255,2854.56,0.139,435.6
TX04583,ACC_N2622,18562.46,0.362,1356.3
TX00922,ACC_A0095,57084.08,0.411,480.6
TX05549,ACC_N1605,863.61,0.593,1121.5
TX00616,ACC_A0217,46075.21,0.318,1116.7
TX00425,ACC_A0288,55980.88,0.442,2503.9
TX09739,ACC_N1975,7186.93,0.249,262.5
TX09679,ACC_N0518,2302.21,0.437,1240.7
TX03271,ACC_N0679,10326.3,0.315,1254.0
TX06197,ACC_N2112,15270.52,0.349,611.8
TX05404,ACC_N0504,13550.51,0.594,406.6
TX06591,ACC_N2964,16157.84,0.587,1429.9
TX07443,ACC_N3142,10225.24,0.279,1245.3
TX04724,ACC_N1193,11409.77,0.336,1061.3
TX04557,ACC_N0683,1432.86,0.35,1411.5
TX02738,ACC_N1236,6656.56,0.17,1366.8
TX09867,ACC_N0433,17283.43,0.388,
TX06997,ACC_N1188,19523.6,0.553,528.1
TX00110,ACC_M056,84640.96,0.955,5.0
TX07789,ACC_N0539,16424.1,0.245,1256.1
TX02973,ACC_N3287,11906.15,0.309,473.5
TX04341,ACC_N2178,3690.36,0.577,415.1
TX09879,ACC_N3413,15410.92,0.447,330.1
TX02003,ACC_N1119,11862.38,0.119,360.8
TX09955,ACC_N2126,15679.2,0.211,1222.2
TX00673,ACC_A0287,17370.77,0.339,671.4
TX04431,ACC_N1876,17435.28,0.261,1411.6
TX03331,ACC_N3046,16115.65,0.205,769.1
TX05809,ACC_N1020,2112.01,0.505,
TX01138,ACC_A0383,23871.94,0.511,1525.4
TX08483,ACC_N1516,16099.84,0.267,684.2
TX09629,ACC_N3330,10939.93,0.172,830.3
TX05149,ACC_N1241,7138.6,0.492,228.8
TX00396,ACC_A0344,15549.14,0.412,1541.8
TX05071,ACC_N0180,19264.86,0.527,1147.0
TX06420,ACC_N2425,1914.67,0.143,576.9
TX01044,ACC_A0216,15782.09,0.448,2721.1
TX07495,ACC_N0304,1340.99,0.499,1062.5
TX08447,ACC_N2230,5629.5,0.467,278.4
TX02396,ACC_N2302,7927.36,0.575,183.8
TX00204,ACC_A0371,39176.85,0.57,1943.7
TX06386,ACC_N2924,4654.62,0.186,1020.5
TX06733,ACC_N2236,15230.91,0.574,919.5
TX08689,ACC_N1998,866.29,0.36,863.9
TX08373,ACC_N1372,17854.29,0.355,185.4
TX09805,ACC_N0139,10697.69,0.189,1068.0
TX00702,ACC_A0151,42035.93,0.456,
TX02096,ACC_N1391,2496.16,0.298,956.8
TX04902,ACC_N3330,7351.89,0.181,528.2
TX07124,ACC_N1199,3056.86,0.137,1211.0
TX02662,ACC_N3007,-18596.28,0.44,826.9
TX00289,ACC_A0287,52904.13,0.513,2060.1
TX01231,ACC_N0643,9420.14,0.383,1294.3
TX04985,ACC_N2979,4520.84,0.135,484.0
TX06104,ACC_N0305,7517.71,0.145,1418.3
TX03701,ACC_N1476,14321.59,0.352,1014.7
TX04248,ACC_N2155,17679.58,0.587,
TX05011,ACC_N0992,16212.96,0.392,268.9
TX04365,ACC_N0072,6377.14,0.399,155.5
TX06106,ACC_N3229,10911.6,0.399,1309.4
TX03345,ACC_N0432,2571.79,0.312,206.9
TX03259,ACC_N1487,19856.2,0.141,198.8
TX00368,ACC_A0155,34418.77,0.548,722.8
TX00613,ACC_A0197,51334.36,0.489,2386.7
TX03922,ACC_N2787,8566.07,0.58,477.3
TX05052,ACC_N2686,8607.6,0.197,773.6
TX06268,ACC_N3015,7142.77,0.253,833.3
TX08789,ACC_N1062,4175.52,0.415,529.5
TX06791,ACC_N3130,17702.25,0.16,1322.6
TX04217,ACC_N2788,16747.59,0.158,1292.4
TX05452,ACC_N0890,15398.72,0.189,1052.6
TX05632,ACC_N0284,3848.17,0.321,644.2
TX09785,ACC_N0630,8575.13,0.368,964.8
TX08403,ACC_N0914,6979.44,0.15,1160.5
TX00534,ACC_A0237,24877.97,0.387,1373.1
TX07954,ACC_N3261,5447.72,0.413,1011.6
TX02906,ACC_N2706,4532.55,0.327,1260.2
TX05739,ACC_N0809,10937.43,0.2,1001.1
TX00347,ACC_A0053,52130.97,0.388,1521.4
TX09983,ACC_N0877,5884.66,0.282,933.2
TX06208,ACC_N2910,10513.21,0.523,994.2
TX09887,ACC_N0387,14376.35,0.4,1062.4
TX03202,ACC_N1532,7406.01,0.163,755.5
TX08760,ACC_N3001,9266.94,0.483,556.7
TX09829,ACC_N3199,3224.2,0.333,385.3
TX07435,ACC_N2312,9002.81,0.525,428.5
TX03061,ACC_N0070,11876.81,0.559,1385.9
TX04155,ACC_N2586,18333.26,0.115,219.9
TX09984,ACC_N3290,5307.07,0.304,1156.0
TX03727,ACC_N1567,12235.61,0.429,1039.2
TX08650,ACC_N2228,16351.64,0.153,844.6
TX00904,ACC_A0278,54714.01,0.48,1971.3
TX00270,ACC_A0006,40098.4,0.437,307.4
TX02354,ACC_N0224,14285.65,0.542,126.5
TX07297,ACC_N2290,7399.16,0.292,1304.7
TX09620,ACC_N1281,17072.49,0.347,365.9
TX01729,ACC_N2883,15758.75,0.6,140.6
TX04861,ACC_N1888,17981.83,0.319,157.2
TX03565,ACC_N1878,9203.91,0.201,560.5
TX05317,ACC_N2778,16765.7,0.181,348.5
TX04308,ACC_N3054,7321.17,0.595,540.8
TX09767,ACC_N2827,9730.24,0.411,465.5
TX07865,ACC_N0896,16107.03,0.592,385.3
TX01183,ACC_N1270,5799.84,0.291,1231.8
TX04607,ACC_N2628,1402.11,0.576,830.4
TX08181,ACC_N0259,1609.58,0.269,1246.0
TX09413,ACC_N3147,1329.23,0.457,1238.8
TX00547,ACC_A0360,24811.04,0.342,1699.6
TX01612,ACC_N3033,13113.33,0.492,1331.7
TX01168,ACC_N2300,11245.49,0.265,435.1
TX06963,ACC_N1490,8991.58,0.55,485.5
TX06836,ACC_N1282,4502.8,0.322,450.6
TX04162,ACC_N1676,4878.91,0.448,673.9
TX08343,ACC_N3218,14306.22,0.512,1322.7
TX02373,ACC_N0992,17835.74,0.239,
TX01155,ACC_N3474,5506.5,0.374,797.6
TX06015,ACC_N2646,18587.45,0.394,334.9
TX08349,ACC_N3413,14631.73,0.286,514.7
TX05720,ACC_N2177,7544.69,0.223,165.7
TX08565,ACC_N3224,18492.18,0.137,1251.7
TX07751,ACC_N1674,12835.57,0.281,556.5
TX08770,ACC_N1149,11770.02,0.33,673.1
TX03137,ACC_N3288,5947.12,0.191,209.6
TX06869,ACC_N1877,18633.87,0.152,1101.2
TX06476,ACC_N2466,19191.64,0.435,395.2
TX00095,ACC_M013,396935.23,0.951,16.0
TX09155,ACC_N1833,18169.18,0.419,456.4
TX08077,ACC_N2005,17284.17,0.14,643.1
TX05675,ACC_N0194,12935.21,0.364,644.6
TX03135,ACC_N3215,6401.15,0.449,721.1
TX07014,ACC_N2852,13033.55,0.511,1075.8
TX04423,ACC_N2764,19233.94,0.441,227.2
TX00313,ACC_A0264,49550.08,0.491,1325.9
TX02798,ACC_N2136,17249.18,0.254,1351.4
TX08095,ACC_N2804,8505.07,0.177,405.3
TX09576,ACC_N1105,3896.55,0.247,1369.6
TX00807,ACC_A0304,49694.29,0.66,2436.5
TX02029,ACC_N3332,14631.58,0.154,1044.7
TX01144,ACC_A0340,45154.32,0.511,2842.1
TX09746,ACC_N3302,2853.4,0.395,903.2
TX08425,ACC_N2195,3280.7,0.481,1223.8
TX08322,ACC_N3480,15749.67,0.218,510.8
TX09905,ACC_N3447,18078.56,0.504,580.6
TX00755,ACC_A0083,54730.78,0.689,2848.2
TX05764,ACC_N1813,3577.7,0.131,1078.2
TX09836,ACC_N3483,1704.98,0.46,873.4
TX05528,ACC_N2500,13834.94,0.294,886.9
TX04990,ACC_N2141,15030.32,0.568,266.0
TX08997,ACC_N2128,1088.15,0.315,1112.6
TX02299,ACC_N2601,9708.42,0.329,228.1
TX05310,ACC_N0097,17656.3,0.159,948.0
TX08113,ACC_N2067,777.45,0.362,518.8
TX02626,ACC_N2559,7194.37,0.521,856.7
TX04770,ACC_N0619,7933.98,0.408,1175.2
TX02466,ACC_N0300,9170.24,0.486,602.3
TX06029,ACC_N2643,14871.43,0.118,937.7
TX09046,ACC_N2587,11931.65,0.557,1075.3
TX09975,ACC_N3253,14836.09,0.111,755.6
TX02713,ACC_N3078,13870.21,0.308,951.9
TX09430,ACC_N2547,8925.63,0.453,1008.6
TX03300,ACC_N2376,2340.75,0.205,460.3
TX00847,ACC_A0071,29433.42,0.592,605.5
TX06043,ACC_N3162,1379.76,0.131,983.5
TX05200,ACC_N2743,9133.92,0.438,457.8
TX09428,ACC_N3269,13047.7,0.343,428.1
TX08344,ACC_N1956,17435.02,0.19,1096.4
TX03193,ACC_N3295,1872.9,0.551,1125.8
TX08891,ACC_N0692,9283.6,0.364,931.5
TX02799,ACC_N1859,7223.01,0.38,213.5
TX05397,ACC_N2654,1402.03,0.155,559.7
TX07684,ACC_N2293,7632.54,0.585,508.1
TX06111,ACC_N3040,8687.47,0.568,1288.6
TX02330,ACC_N3163,2265.91,0.362,823.2
TX08754,ACC_N0568,4954.51,0.538,782.2
TX02950,ACC_N3053,5526.68,0.455,1124.4
TX00962,ACC_A0108,53081.04,0.465,1370.6
TX05484,ACC_N2720,7451.3,0.466,1236.6
TX08781,ACC_N0890,4828.9,0.588,1362.2
TX06792,ACC_N2373,11709.96,0.481,784.7
TX07623,ACC_N0343,5855.64,0.455,793.8
TX08444,ACC_N2395,11714.18,0.264,469.6
TX07913,ACC_N1282,18164.59,0.411,197.4
TX07685,ACC_N2986,19017.24,0.531,1282.9
TX07725,ACC_N2538,4127.66,0.152,231.2
TX03677,ACC_N2949,9054.02,0.347,1065.2
TX01311,ACC_N0587,10319.17,0.258,1179.7
TX00040,ACC_M054,-248068.62,0.962,5.3
TX01880,ACC_N0709,6378.53,0.241,644.3
TX09850,ACC_N2735,1901.78,0.233,1086.5
TX04623,ACC_N2028,14565.1,0.386,1120.3
TX03263,ACC_N0866,14192.06,0.13,1276.2
TX00064,ACC_M011,210539.0,0.961,25.0
TX02881,ACC_N3218,1050.46,0.354,549.9
TX08062,ACC_N1719,11976.25,0.446,290.3
TX06914,ACC_N2802,9670.54,0.228,327.5
TX04555,ACC_N0045,9164.87,0.255,420.5
TX04826,ACC_N1863,6152.67,0.465,1192.9
TX09109,ACC_N3425,4577.15,0.285,1311.5
TX01420,ACC_N0922,4033.9,0.231,474.0
TX04785,ACC_N0349,12805.17,0.44,625.6
TX04064,ACC_N2105,5870.88,0.561,
TX02479,ACC_N2336,6430.42,0.572,293.1
TX07917,ACC_N3192,11164.87,0.474,191.7
TX00607,ACC_A0269,18499.44,0.303,605.7
TX03983,ACC_N0549,1929.46,0.122,1267.6
TX09575,ACC_N0007,3463.85,0.562,713.5
TX04967,ACC_N0038,7234.21,0.327,947.9
TX05900,ACC_N0451,3377.26,0.512,353.6
TX02517,ACC_N0497,8040.58,0.549,398.9
TX02130,ACC_N0831,9135.17,0.152,980.0
TX08064,ACC_N0022,1664.36,0.485,493.2
TX08238,ACC_N1001,13454.9,0.167,890.8
TX02845,ACC_N2656,-14172.31,0.378,919.2
TX04486,ACC_N3258,14562.61,0.265,1112.5
TX07810,ACC_N1771,2394.71,0.287,241.3
TX09134,ACC_N0745,5896.04,0.563,1062.5
TX04144,ACC_N0225,8256.58,0.228,303.3
TX02505,ACC_N2100,5709.31,0.488,196.5
TX03691,ACC_N0542,15838.38,0.15,719.9
TX08736,ACC_N1433,16070.64,0.147,1032.6
TX03248,ACC_N3117,1717.66,0.583,297.6
TX00993,ACC_A0042,33225.94,0.517,1490.7
TX06207,ACC_N1556,16900.38,0.294,1020.8
TX06924,ACC_N3089,15938.47,0.207,1423.4
TX08188,ACC_N1931,10124.67,0.135,377.2
TX02868,ACC_N2945,9401.92,0.536,225.6
TX02475,ACC_N2389,11302.6,0.12,226.8
TX01950,ACC_N3483,14894.28,0.316,576.0
TX02834,ACC_N2142,7966.61,0.497,539.4
TX08962,ACC_N1349,19733.55,0.168,717.0
TX05102,ACC_N1553,12506.66,0.187,1305.8
TX07624,ACC_N1424,14747.42,0.257,492.3
TX06206,ACC_N1359,788.77,0.591,710.8
TX07619,ACC_N1796,10186.11,0.566,659.1
TX07159,ACC_N3304,2172.15,0.518,
TX06126,ACC_N2956,2610.42,0.415,1069.9
TX06236,ACC_N2156,13710.6,0.391,1294.1
TX06349,ACC_N2453,12485.5,0.445,1151.5
TX08511,ACC_N2413,12449.61,0.512,1019.4
TX08040,ACC_N1460,16004.21,0.302,
TX07317,ACC_N1744,6051.15,0.134,225.2
TX03189,ACC_N3044,7896.03,0.276,730.6
TX07330,ACC_N1648,6942.43,0.367,1015.0
TX05026,ACC_N0584,2891.25,0.116,551.0
TX05343,ACC_N1570,10254.51,0.402,525.7
TX02822,ACC_N3256,13950.93,0.228,480.5
TX05427,ACC_N1094,15298.33,0.57,666.4
TX01652,ACC_N1448,19911.75,0.295,380.3
TX07186,ACC_N2089,6017.48,0.451,887.7
TX06317,ACC_N0009,4953.97,0.33,168.7
TX05676,ACC_N0179,10368.62,0.452,1391.8
TX08063,ACC_N0266,715.42,0.216,262.7
TX04676,ACC_N0139,6870.44,0.534,303.1
TX02644,ACC_N0648,15604.16,0.451,639.1
TX01555,ACC_N0121,8849.59,0.297,636.6
TX08214,ACC_N2241,7256.77,0.532,1201.4
TX05313,ACC_N0914,17503.71,0.113,304.0
TX00727,ACC_A0096,55384.63,0.503,1710.9
TX08151,ACC_N0030,5133.48,0.456,619.4
TX06355,ACC_N2632,1874.85,0.597,1068.3
TX00075,ACC_M008,368085.8,0.963,4.1
TX00080,ACC_M008,102141.08,0.982,13.4
TX00908,ACC_A0077,29494.26,0.479,408.3
TX09535,ACC_N0261,13360.84,0.174,481.9
TX01266,ACC_N0081,10711.44,0.508,1307.9
TX07528,ACC_N1175,18848.45,0.147,759.1
TX00412,ACC_A0293,47674.3,0.315,2672.0
TX01386,ACC_N1738,1307.85,0.421,1140.6
TX03210,ACC_N0676,8595.54,0.168,956.2
TX00431,ACC_A0186,29946.59,0.333,2777.2
TX04697,ACC_N2974,19212.09,0.103,154.7
TX06705,ACC_N3096,15480.03,0.333,1437.2
TX07247,ACC_N0059,9389.4,0.556,1376.8
TX02079,ACC_N2378,10585.58,0.392,926.1
TX02502,ACC_N2525,10026.58,0.56,1265.9
TX06073,ACC_N2826,8939.63,0.158,
TX05967,ACC_N1897,5390.57,0.334,120.9
TX03055,ACC_N3335,5132.42,0.221,716.2
TX06076,ACC_N0706,14234.88,0.236,672.4
TX01548,ACC_N0010,17782.62,0.238,531.8
TX01619,ACC_N0339,2218.97,0.423,480.8
TX04376,ACC_N2174,8958.68,0.417,854.0
TX03011,ACC_N1167,17136.93,0.266,1330.2
TX09981,ACC_N2362,15389.25,0.273,1200.1
TX00409,ACC_A0028,21260.23,0.695,1648.2
TX01776,ACC_N2122,9081.39,0.21,292.1
TX02046,ACC_N0981,15127.99,0.425,
TX02132,ACC_N1318,4517.11,0.388,956.9
TX09376,ACC_N0361,11523.4,0.567,914.5
TX06573,ACC_N1978,5254.93,0.575,997.6
TX02036,ACC_N0738,12658.62,0.152,1220.8
TX00354,ACC_A0367,45734.19,0.562,1979.5
TX02080,ACC_N3228,17039.54,0.323,1297.6
TX05679,ACC_N1562,14983.07,0.372,1256.8
TX04570,ACC_N2482,16892.34,0.178,444.2
TX03972,ACC_N3457,16799.82,0.25,1226.2
TX05743,ACC_N3124,5932.08,0.455,1111.9
TX09760,ACC_N2065,4292.09,0.26,429.2
TX00087,ACC_M036,378322.78,0.964,13.4
TX07996,ACC_N1690,4223.5,0.152,1270.2
TX01172,ACC_N0909,5917.98,0.292,356.3
TX06812,ACC_N2505,2152.21,0.101,849.2
TX04991,ACC_N2481,4664.56,0.505,822.7
TX00394,ACC_A0371,33402.98,0.624,1747.1
TX03734,ACC_N2492,5653.85,0.314,483.8
TX01130,ACC_A0344,-38455.54,0.312,1321.6
TX07238,ACC_N1217,14521.15,0.439,933.6
TX09125,ACC_N3014,11882.78,0.553,287.4
TX01854,ACC_N3404,1909.4,0.174,258.9
TX08156,ACC_N2324,16770.37,0.239,1283.0
TX08625,ACC_N2276,7923.56,0.115,1365.9
TX00357,ACC_A0227,55485.04,0.493,2304.5
TX01513,ACC_N0334,17337.86,0.285,961.4
TX08033,ACC_N1347,6365.72,0.319,530.0
TX06292,ACC_N1308,16949.95,0.497,757.9
TX03644,ACC_N0917,1346.95,0.592,550.1
TX00406,ACC_A0006,27956.83,0.48,1585.4
TX04065,ACC_N2474,19370.93,0.125,1242.2
TX06823,ACC_N3269,7051.42,0.546,785.0
TX09166,ACC_N2142,10300.06,0.559,988.1
TX01634,ACC_N2718,14259.89,0.587,529.2
TX01520,ACC_N2004,13420.07,0.383,241.5
TX09457,ACC_N0297,14144.27,0.266,585.6
TX01402,ACC_N2971,13125.43,0.111,661.3
TX05234,ACC_N0262,16405.48,0.101,863.6
TX04265,ACC_N1862,16131.58,0.583,379.6
TX04920,ACC_N2581,-16615.85,0.368,444.5
TX06995,ACC_N3325,5769.85,0.21,839.3
TX06447,ACC_N0837,3623.83,0.375,955.0
TX09793,ACC_N1568,15966.83,0.233,780.5
TX03580,ACC_N2549,10843.27,0.475,468.3
TX04939,ACC_N2039,1199.91,0.575,356.9
TX04469,ACC_N3471,15951.62,0.317,149.7
TX01143,ACC_A0194,38538.81,0.593,1667.1
TX06440,ACC_N0990,12080.54,0.469,913.2
TX01102,ACC_A0287,43359.39,0.505,2210.7
TX08097,ACC_N2156,14977.2,0.475,1132.4
TX09710,ACC_N0226,11132.16,0.428,223.8
TX04149,ACC_N3235,9967.2,0.536,177.8
TX00944,ACC_A0004,54232.48,0.589,2047.9
TX00669,ACC_A0284,32278.38,0.471,2209.6
TX00565,ACC_A0162,26992.43,0.349,744.0
TX07614,ACC_N2241,19681.03,0.406,507.8
TX02381,ACC_N2152,3209.9,0.183,398.8
TX06134,ACC_N0062,3075.3,0.548,1181.7
TX07985,ACC_N2985,17960.23,0.314,1354.7
TX03309,ACC_N1870,16212.4,0.512,492.6
TX05231,ACC_N0146,12134.83,0.225,662.9
TX06616,ACC_N0330,10470.31,0.2,591.8
TX09201,ACC_N2752,12300.27,0.182,
TX07573,ACC_N0536,971.32,0.533,652.6
TX02321,ACC_N3470,2391.09,0.228,1174.6
TX03476,ACC_N0408,4529.54,0.339,939.9
TX00340,ACC_A0337,56690.22,0.406,1051.2
TX06842,ACC_N1153,8658.31,0.181,782.6
TX09605,ACC_N3055,11572.86,0.468,1170.2
TX02806,ACC_N0500,3511.11,0.179,1416.3
TX05538,ACC_N1186,4373.69,0.536,972.8
TX02322,ACC_N1961,1586.28,0.233,1375.6
TX09326,ACC_N2586,8918.1,0.362,145.7
TX03791,ACC_N3131,1668.54,0.595,507.3
TX07560,ACC_N1857,848.53,0.194,831.1
TX01001,ACC_A0363,53609.38,0.34,981.1
TX07451,ACC_N2595,2522.74,0.509,1010.3
TX03157,ACC_N1428,4380.72,0.447,1230.6
TX03536,ACC_N0572,11220.41,0.496,374.1
TX03038,ACC_N2047,3825.49,0.133,187.2
TX01783,ACC_N3060,16158.14,0.136,424.4
TX01088,ACC_A0098,27990.85,0.353,2068.3
TX08034,ACC_N0652,4877.22,0.187,866.0
TX01924,ACC_N0092,13403.22,0.364,382.7
TX04561,ACC_N3096,16303.51,0.134,1013.8
TX04598,ACC_N2536,17784.19,0.25,968.2
TX05711,ACC_N3144,12540.52,0.115,987.8
TX01720,ACC_N0655,15577.08,0.472,629.3
TX05655,ACC_N0557,10713.29,0.223,903.1
TX01154,ACC_N2941,11666.54,0.328,366.4
TX09693,ACC_N1695,4815.04,0.49,760.9
TX09799,ACC_N0614,8766.78,0.244,184.7
TX05077,ACC_N0816,15836.42,0.392,1104.6
TX02793,ACC_N1357,2992.33,0.49,1431.1
TX05854,ACC_N0511,8286.86,0.501,997.3
TX06362,ACC_N1921,11022.51,0.267,1080.8
TX04913,ACC_N1378,15900.35,0.138,846.2
TX08396,ACC_N1834,6934.4,0.239,211.8
TX01628,ACC_N2296,15964.73,0.181,364.2
TX02369,ACC_N2808,10522.13,0.578,442.4
TX04254,ACC_N2908,11319.1,0.311,576.5
TX09750,ACC_N3070,8096.29,0.42,991.0
TX03495,ACC_N2069,17238.2,0.447,788.2
TX05437,ACC_N0012,1587.12,0.412,1419.5
TX05107,ACC_N2065,8354.13,0.152,822.2
TX09158,ACC_N1816,1539.94,0.588,606.0
TX07171,ACC_N0735,14596.57,0.383,128.1
TX03738,ACC_N1308,1472.36,0.345,619.9
TX01830,ACC_N1265,13592.42,0.214,1339.4
TX01545,ACC_N1284,2132.64,0.38,1181.7
TX00819,ACC_A0263,17953.18,0.492,1200.1
TX04898,ACC_N2528,19559.75,0.189,555.0
TX00328,ACC_A0013,20251.32,0.455,2206.7
TX08753,ACC_N2302,13365.03,0.378,445.8
TX07787,ACC_N1109,8455.83,0.427,1434.2
TX09568,ACC_N0395,8007.8,0.228,221.7
TX01764,ACC_N3113,14499.69,0.437,276.8
TX07162,ACC_N1178,19723.23,0.573,1200.4
TX06258,ACC_N1047,11686.24,0.517,913.5
TX02102,ACC_N3248,14050.91,0.521,736.3
TX03820,ACC_N2518,-2591.31,0.569,353.7
TX03142,ACC_N0938,17706.98,0.236,642.6
TX04047,ACC_N0786,8433.04,0.347,872.2
TX05584,ACC_N0118,13058.52,0.592,701.6
TX08284,ACC_N1316,12978.65,0.204,683.1
TX06198,ACC_N2555,4858.79,0.567,1048.8
TX01638,ACC_N1787,3215.31,0.571,429.3
TX06824,ACC_N1249,3512.62,0.136,964.1
TX06226,ACC_N0236,15559.05,0.526,321.3
TX04631,ACC_N1622,1113.2,0.23,1119.0
TX06243,ACC_N2610,5918.4,0.405,810.5
TX09948,ACC_N1303,9151.72,0.251,1244.9
TX00611,ACC_A0060,19639.22,0.46,885.0
TX09186,ACC_N2649,3794.96,0.106,307.4
TX06368,ACC_N0140,715.05,0.514,1415.8
TX06894,ACC_N0460,15639.86,0.145,1170.0
TX03114,ACC_N1865,19874.77,0.298,899.2
TX09162,ACC_N3193,17020.72,0.529,748.7
TX01221,ACC_N1685,10236.41,0.518,1028.3
TX05407,ACC_N0826,1534.39,0.22,1033.1
TX01304,ACC_N1682,15166.51,0.593,635.3
TX08400,ACC_N2504,12879.31,0.469,1223.0
TX04370,ACC_N2498,11909.02,0.447,1086.4
TX03743,ACC_N0595,6597.91,0.412,973.7
TX03295,ACC_N0759,5130.98,0.38,295.3
TX02252,ACC_N3184,14259.5,0.176,659.1
